App,Translated_Review,Sentiment,Sentiment_Polarity,Sentiment_Subjectivity
10 Best Foods for You,Lovely Best everyone needs,Positive,0.75,0.525
10 Best Foods for You,Love It I lost 6Pounds far 215 209,Positive,0.3,0.8
10 Best Foods for You,I like,Neutral,0,0
10 Best Foods for You,Thanks helpful app.,Positive,0.2,0.2
10 Best Foods for You,good food really good eat,Positive,0.7,0.6
10 Best Foods for You,Thanks Thank u much,Positive,0.2,0.2
10 Best Foods for You,Love This really good,Positive,0.6,0.6
10 Best Foods for You,This helpful,Neutral,0,0
10 Best Foods for You,I love,Positive,0.5,0.6
10 Best Foods for You,Very useful,Positive,0.39,0
10 Best Foods for You,Great Love,Positive,0.65,0.675
10 Best Foods for You,Very informative,Positive,0.2,0.3
10 Best Foods for You,Luv,Neutral,0,0
10 Best Foods for You,great,Positive,0.8,0.75
10 Best Foods for You,Wonderful,Positive,1,1
10 Best Foods for You,Doesn't work... Zero,Neutral,0,0
10 Best Foods for You,Weight loss Not bad,Positive,0.35,0.666666667
10 Best Foods for You,10 best foods 4u Excellent chose foods,Positive,1,0.65
10 Best Foods for You,This needed most.,Positive,0.5,0.5
10 Best Foods for You,Faltu plz waste ur time,Negative,-0.2,0
10 Best Foods for You,Best food Thank you recipe book,Positive,1,0.3
10 Best Foods for You,I Love Good,Positive,0.6,0.6
10 Best Foods for You,I like Superb,Positive,1,1
10 Best Foods for You,Good V good,Positive,0.7,0.6
10 Best Foods for You,Healthy,Positive,0.5,0.5
10 Best Foods for You,Quick Read.,Positive,0.333333333,0.5
10 Best Foods for You,Great ideas,Positive,0.8,0.75
10 Best Foods for You,Too good,Positive,0.7,0.6
10 Best Foods for You,Cool.,Positive,0.35,0.65
10 Best Foods for You,Good,Positive,0.7,0.6
10 Best Foods for You,Good,Positive,0.7,0.6
10 Best Foods for You,Best Best,Positive,1,0.3
10 Best Foods for You,Great Great,Positive,0.8,0.75
10 Best Foods for You,"Food list easy I predibetic, I scared. All Dr. said potatoes, rice, bread. He never told I could eat. I supplied paperwork stating things could happen me. This tells get works. Thank calming down.AWESOME APP. GET IT!!!!",Positive,1,0.833333333
10 Best Foods for You,Great wife. My wife enjoy much. She's kinda person like follow health diet... She's spending much time front PC find appropriate diet food her. Now found magnificent app! Thank you! Thumbs up.,Positive,0.516666667,0.525
10 Best Foods for You,Great! Very interesting useful application. I like it!,Positive,0.675,0.466666667
10 Best Foods for You,Crap Doesn't work,Negative,-0.8,0.8
10 Best Foods for You,This 5 starr Download,Neutral,0,0
10 Best Foods for You,I like Was helpful,Neutral,0,0
10 Best Foods for You,nice super get,Positive,0.466666667,0.833333333
10 Best Foods for You,Nice Nice collection,Positive,0.6,1
10 Best Foods for You,Wow,Positive,0.1,1
10 Best Foods for You,"Interesting. It interesting info, I think worth storage space phone. I'd rather research computer print list. Neat idea, make life easier, provide entertainment, I expect app.",Positive,0.433333333,0.366666667
10 Best Foods for You,"Luv it! Simple, easy understand, well thought I follow step step problems see results. I also luv apps, gives food choices. But looks like foundation. Keep good work!",Positive,0.436111111,0.596825397
10 Best Foods for You,Not good Its good u net connection u can't play app.so much good.,Positive,0.2625,0.45
10 Best Foods for You,Awesome resources I begin new journey. I can't see great results!,Positive,0.712121212,0.734848485
10 Best Foods for You,Boring. I thought actually just texts that's it. Too poor old texts....,Negative,-0.325,0.475
10 Best Foods for You,Love app. It gives way good idea I buying store eating daily basis,Positive,0.4,0.4
10 Best Foods for You,Great Its really best unique provides detailed information food nutritious staying healthy hats developer giving free.,Positive,0.579166667,0.683333333
10 Best Foods for You,Nothing special! Could find anything useful!,Positive,0.410714286,0.285714286
10 Best Foods for You,Its ok I love ok.,Positive,0.5,0.533333333
10 Best Foods for You,"I like eat delicious food. That's I'm cooking food myself, case ""10 Best Foods"" helps lot, also ""Best Before (Shelf Life)""",Positive,1,0.533333333
10 Best Foods for You,This help eating healthy exercise regular basis,Positive,0.25,0.288461538
10 Best Foods for You,nan,nan,nan,nan
10 Best Foods for You,Works great especially going grocery store,Positive,0.4,0.875
10 Best Foods for You,Best idea us,Positive,1,0.3
10 Best Foods for You,Best way,Positive,1,0.3
10 Best Foods for You,Amazing,Positive,0.6,0.9
10 Best Foods for You,nan,nan,nan,nan
10 Best Foods for You,"Looking forward app,",Neutral,0,0
10 Best Foods for You,It helpful site ! It help foods get !,Neutral,0,0
10 Best Foods for You,good you.,Positive,0.7,0.6
10 Best Foods for You,"Useful information The amount spelling errors questions validity information shared. Once fixed, 5 stars given.",Positive,0.2,0.1
10 Best Foods for You,"Thank you! Great app!! Add arthritis, eyes, immunity, kidney/liver detox foods please. :)",Positive,0.75,0.875
10 Best Foods for You,Greatest ever Completely awesome maintain health.... This must ppl there... Love it!!!,Positive,0.9921875,0.866666667
10 Best Foods for You,Good health...... Good health first priority.......,Positive,0.55,0.511111111
10 Best Foods for You,nan,nan,nan,nan
10 Best Foods for You,Health It's important world either life . think? :),Positive,0.45,1
10 Best Foods for You,"Mrs sunita bhati I thankful developers,to make kind app, really good healthy food body",Positive,0.6,0.666666667
10 Best Foods for You,Very Useful in diabetes age 30. I need control sugar. thanks,Positive,0.295,0.1
10 Best Foods for You,One greatest apps.,Positive,1,1
10 Best Foods for You,good nice,Positive,0.65,0.8
10 Best Foods for You,Healthy Really helped,Positive,0.35,0.35
10 Best Foods for You,God health,Neutral,0,0
10 Best Foods for You,HEALTH SHOULD ALWAYS BE TOP PRIORITY. !!. ON MYSG5.,Positive,0.78125,0.5
10 Best Foods for You,An excellent A useful,Positive,0.65,0.5
10 Best Foods for You,I found lot wealth form health...,Neutral,0,0
10 Best Foods for You,Because I found important.,Positive,0.4,1
10 Best Foods for You,Healthy Eating,Positive,0.5,0.5
10 Best Foods for You,Very good Simply good,Positive,0.805,0.69
10 Best Foods for You,On test....,Neutral,0,0
10 Best Foods for You,Good.!!,Positive,1,0.6
10 Best Foods for You,Thanks advice. Downloaded Adobe reader still can't get recipe book?..,Positive,0.2,0.2
10 Best Foods for You,No recipe book Unable recipe book.,Negative,-0.5,0.5
10 Best Foods for You,Absolutely Fabulous Phenomenal,Positive,0.45,0.75
10 Best Foods for You,Great Love food,Positive,0.65,0.675
10 Best Foods for You,Excellent It really works,Positive,0.6,0.6
10 Best Foods for You,Best,Positive,1,0.3
10 Best Foods for You,"WEALTH OF INFORMATION Very informative ... easy understand. (The ads middle page interupted read). Update: My ""ad comment"" NOT objection ads, literally position ads. Smack dab MIDDLE. I new spartphones & apps. Didnt know NOT Click eveything I saw... But, ... Full Review",Positive,0.186616162,0.356313131
10 Best Foods for You,Not description good,Positive,0.7,0.6
10 Best Foods for You,Great app. Love,Positive,0.65,0.675
10 Best Foods for You,Good,Positive,0.7,0.6
10 Best Foods for You,Loved Very helpful,Positive,0.45,0.55
10 Best Foods for You,Good healthy foods.,Positive,0.6,0.55
10 Best Foods for You,Waste time It needs internet time n ask calls information,Negative,-0.2,0
10 Best Foods for You,Best thing I lost ten lbs. two months help tips,Positive,0.5,0.15
10 Best Foods for You,Ten best food promote good health Good health essential long healthy lifestyle make habit eat foods promote good health. Eat fruits veggies every day.,Positive,0.44375,0.4125
10 Best Foods for You,Healthy Food Really good information eat healthy,Positive,0.566666667,0.533333333
10 Best Foods for You,My mom dad important thing This good share,Positive,0.55,0.8
10 Best Foods for You,A big thanks ds I got bst gd health,Positive,0.1,0.15
10 Best Foods for You,Lovely Best everyone needs,Positive,0.75,0.525
10 Best Foods for You,Love It I lost 6Pounds far 215 209,Positive,0.3,0.8
10 Best Foods for You,I like,Neutral,0,0
10 Best Foods for You,Thanks helpful app.,Positive,0.2,0.2
10 Best Foods for You,good food really good eat,Positive,0.7,0.6
10 Best Foods for You,Thanks Thank u much,Positive,0.2,0.2
10 Best Foods for You,Love This really good,Positive,0.6,0.6
10 Best Foods for You,This helpful,Neutral,0,0
10 Best Foods for You,I love,Positive,0.5,0.6
10 Best Foods for You,Very useful,Positive,0.39,0
10 Best Foods for You,Great Love,Positive,0.65,0.675
10 Best Foods for You,Very informative,Positive,0.2,0.3
10 Best Foods for You,Luv,Neutral,0,0
10 Best Foods for You,great,Positive,0.8,0.75
10 Best Foods for You,Wonderful,Positive,1,1
10 Best Foods for You,Doesn't work... Zero,Neutral,0,0
10 Best Foods for You,Weight loss Not bad,Positive,0.35,0.666666667
10 Best Foods for You,10 best foods 4u Excellent chose foods,Positive,1,0.65
10 Best Foods for You,This needed most.,Positive,0.5,0.5
10 Best Foods for You,Faltu plz waste ur time,Negative,-0.2,0
10 Best Foods for You,Best food Thank you recipe book,Positive,1,0.3
10 Best Foods for You,I Love Good,Positive,0.6,0.6
10 Best Foods for You,I like Superb,Positive,1,1
10 Best Foods for You,Good V good,Positive,0.7,0.6
10 Best Foods for You,Healthy,Positive,0.5,0.5
10 Best Foods for You,Quick Read.,Positive,0.333333333,0.5
10 Best Foods for You,Great ideas,Positive,0.8,0.75
10 Best Foods for You,Too good,Positive,0.7,0.6
10 Best Foods for You,Cool.,Positive,0.35,0.65
10 Best Foods for You,Good,Positive,0.7,0.6
10 Best Foods for You,Good,Positive,0.7,0.6
10 Best Foods for You,Best Best,Positive,1,0.3
10 Best Foods for You,Great Great,Positive,0.8,0.75
10 Best Foods for You,"Food list easy I predibetic, I scared. All Dr. said potatoes, rice, bread. He never told I could eat. I supplied paperwork stating things could happen me. This tells get works. Thank calming down.AWESOME APP. GET IT!!!!",Positive,1,0.833333333
10 Best Foods for You,Great wife. My wife enjoy much. She's kinda person like follow health diet... She's spending much time front PC find appropriate diet food her. Now found magnificent app! Thank you! Thumbs up.,Positive,0.516666667,0.525
10 Best Foods for You,Great! Very interesting useful application. I like it!,Positive,0.675,0.466666667
10 Best Foods for You,Crap Doesn't work,Negative,-0.8,0.8
10 Best Foods for You,This 5 starr Download,Neutral,0,0
10 Best Foods for You,I like Was helpful,Neutral,0,0
10 Best Foods for You,nice super get,Positive,0.466666667,0.833333333
10 Best Foods for You,Nice Nice collection,Positive,0.6,1
10 Best Foods for You,Wow,Positive,0.1,1
10 Best Foods for You,"Interesting. It interesting info, I think worth storage space phone. I'd rather research computer print list. Neat idea, make life easier, provide entertainment, I expect app.",Positive,0.433333333,0.366666667
10 Best Foods for You,"Luv it! Simple, easy understand, well thought I follow step step problems see results. I also luv apps, gives food choices. But looks like foundation. Keep good work!",Positive,0.436111111,0.596825397
10 Best Foods for You,Not good Its good u net connection u can't play app.so much good.,Positive,0.2625,0.45
10 Best Foods for You,Awesome resources I begin new journey. I can't see great results!,Positive,0.712121212,0.734848485
10 Best Foods for You,Boring. I thought actually just texts that's it. Too poor old texts....,Negative,-0.325,0.475
10 Best Foods for You,Love app. It gives way good idea I buying store eating daily basis,Positive,0.4,0.4
10 Best Foods for You,Great Its really best unique provides detailed information food nutritious staying healthy hats developer giving free.,Positive,0.579166667,0.683333333
10 Best Foods for You,Nothing special! Could find anything useful!,Positive,0.410714286,0.285714286
10 Best Foods for You,Its ok I love ok.,Positive,0.5,0.533333333
104 æ‰¾å·¥ä½œ - æ‰¾å·¥ä½œ æ‰¾æ‰“å·¥ æ‰¾å…¼è· å±¥æ­·å¥æª¢ å±¥æ­·è¨ºç™‚å®¤,Great,Positive,0.8,0.75
104 æ‰¾å·¥ä½œ - æ‰¾å·¥ä½œ æ‰¾æ‰“å·¥ æ‰¾å…¼è· å±¥æ­·å¥æª¢ å±¥æ­·è¨ºç™‚å®¤,nice,Positive,0.6,1
104 æ‰¾å·¥ä½œ - æ‰¾å·¥ä½œ æ‰¾æ‰“å·¥ æ‰¾å…¼è· å±¥æ­·å¥æª¢ å±¥æ­·è¨ºç™‚å®¤,Almost mobile phone,Neutral,0,0
104 æ‰¾å·¥ä½œ - æ‰¾å·¥ä½œ æ‰¾æ‰“å·¥ æ‰¾å…¼è· å±¥æ­·å¥æª¢ å±¥æ­·è¨ºç™‚å®¤,"Very effective, efficient convenient find available jobs. Keep good work power 104 Job Search.",Positive,0.626666667,0.666666667
104 æ‰¾å·¥ä½œ - æ‰¾å·¥ä½œ æ‰¾æ‰“å·¥ æ‰¾å…¼è· å±¥æ­·å¥æª¢ å±¥æ­·è¨ºç™‚å®¤,Easy intuitive,Positive,0.433333333,0.833333333
104 æ‰¾å·¥ä½œ - æ‰¾å·¥ä½œ æ‰¾æ‰“å·¥ æ‰¾å…¼è· å±¥æ­·å¥æª¢ å±¥æ­·è¨ºç™‚å®¤,good searching job internship,Positive,0.7,0.6
104 æ‰¾å·¥ä½œ - æ‰¾å·¥ä½œ æ‰¾æ‰“å·¥ æ‰¾å…¼è· å±¥æ­·å¥æª¢ å±¥æ­·è¨ºç™‚å®¤,"Not bad, price little bit expensive",Negative,-0.1125,0.622222222
104 æ‰¾å·¥ä½œ - æ‰¾å·¥ä½œ æ‰¾æ‰“å·¥ æ‰¾å…¼è· å±¥æ­·å¥æª¢ å±¥æ­·è¨ºç™‚å®¤,easy use!,Positive,0.541666667,0.833333333
104 æ‰¾å·¥ä½œ - æ‰¾å·¥ä½œ æ‰¾æ‰“å·¥ æ‰¾å…¼è· å±¥æ­·å¥æª¢ å±¥æ­·è¨ºç™‚å®¤,job search results iOS e.g. security,Neutral,0,0
104 æ‰¾å·¥ä½œ - æ‰¾å·¥ä½œ æ‰¾æ‰“å·¥ æ‰¾å…¼è· å±¥æ­·å¥æª¢ å±¥æ­·è¨ºç™‚å®¤,easy,Positive,0.433333333,0.833333333
104 æ‰¾å·¥ä½œ - æ‰¾å·¥ä½œ æ‰¾æ‰“å·¥ æ‰¾å…¼è· å±¥æ­·å¥æª¢ å±¥æ­·è¨ºç™‚å®¤,"Well, it is also the largest human bank in Taiwan. Can you please app ui?",Neutral,0,0.1
104 æ‰¾å·¥ä½œ - æ‰¾å·¥ä½œ æ‰¾æ‰“å·¥ æ‰¾å…¼è· å±¥æ­·å¥æª¢ å±¥æ­·è¨ºç™‚å®¤,Great,Positive,0.8,0.75
104 æ‰¾å·¥ä½œ - æ‰¾å·¥ä½œ æ‰¾æ‰“å·¥ æ‰¾å…¼è· å±¥æ­·å¥æª¢ å±¥æ­·è¨ºç™‚å®¤,So,Neutral,0,0
104 æ‰¾å·¥ä½œ - æ‰¾å·¥ä½œ æ‰¾æ‰“å·¥ æ‰¾å…¼è· å±¥æ­·å¥æª¢ å±¥æ­·è¨ºç™‚å®¤,Very useful,Positive,0.39,0
104 æ‰¾å·¥ä½œ - æ‰¾å·¥ä½œ æ‰¾æ‰“å·¥ æ‰¾å…¼è· å±¥æ­·å¥æª¢ å±¥æ­·è¨ºç™‚å®¤,Helpful,Neutral,0,0
104 æ‰¾å·¥ä½œ - æ‰¾å·¥ä½œ æ‰¾æ‰“å·¥ æ‰¾å…¼è· å±¥æ­·å¥æª¢ å±¥æ­·è¨ºç™‚å®¤,Very good job hunt,Positive,0.91,0.78
104 æ‰¾å·¥ä½œ - æ‰¾å·¥ä½œ æ‰¾æ‰“å·¥ æ‰¾å…¼è· å±¥æ­·å¥æª¢ å±¥æ­·è¨ºç™‚å®¤,Easy to use.,Positive,0.433333333,0.833333333
104 æ‰¾å·¥ä½œ - æ‰¾å·¥ä½œ æ‰¾æ‰“å·¥ æ‰¾å…¼è· å±¥æ­·å¥æª¢ å±¥æ­·è¨ºç™‚å®¤,nice,Positive,0.6,1
104 æ‰¾å·¥ä½œ - æ‰¾å·¥ä½œ æ‰¾æ‰“å·¥ æ‰¾å…¼è· å±¥æ­·å¥æª¢ å±¥æ­·è¨ºç™‚å®¤,Good find job easily,Positive,0.566666667,0.716666667
104 æ‰¾å·¥ä½œ - æ‰¾å·¥ä½œ æ‰¾æ‰“å·¥ æ‰¾å…¼è· å±¥æ­·å¥æª¢ å±¥æ­·è¨ºç™‚å®¤,Good meet good,Positive,0.7,0.6
104 æ‰¾å·¥ä½œ - æ‰¾å·¥ä½œ æ‰¾æ‰“å·¥ æ‰¾å…¼è· å±¥æ­·å¥æª¢ å±¥æ­·è¨ºç™‚å®¤,Awesomeee,Neutral,0,0
104 æ‰¾å·¥ä½œ - æ‰¾å·¥ä½œ æ‰¾æ‰“å·¥ æ‰¾å…¼è· å±¥æ­·å¥æª¢ å±¥æ­·è¨ºç™‚å®¤,Why English version???,Neutral,0,0
104 æ‰¾å·¥ä½œ - æ‰¾å·¥ä½œ æ‰¾æ‰“å·¥ æ‰¾å…¼è· å±¥æ­·å¥æª¢ å±¥æ­·è¨ºç™‚å®¤,"The operation interface & information content is richer than 1111, and it is also better to use/utility without flashing back.",Positive,0.25,0.25
104 æ‰¾å·¥ä½œ - æ‰¾å·¥ä½œ æ‰¾æ‰“å·¥ æ‰¾å…¼è· å±¥æ­·å¥æª¢ å±¥æ­·è¨ºç™‚å®¤,Nice,Positive,0.6,1
104 æ‰¾å·¥ä½œ - æ‰¾å·¥ä½œ æ‰¾æ‰“å·¥ æ‰¾å…¼è· å±¥æ­·å¥æª¢ å±¥æ­·è¨ºç™‚å®¤,"Is the development method completed in the early days, the computer web version and the mobile app, the function seems to be short or not the same in the same function page. For example, the similar work function of similar companies is not in the app version.",Positive,0.016666667,0.275
104 æ‰¾å·¥ä½œ - æ‰¾å·¥ä½œ æ‰¾æ‰“å·¥ æ‰¾å…¼è· å±¥æ­·å¥æª¢ å±¥æ­·è¨ºç™‚å®¤,This better suited possibly somebody understands pitfalls modern technology,Positive,0.233333333,0.6
104 æ‰¾å·¥ä½œ - æ‰¾å·¥ä½œ æ‰¾æ‰“å·¥ æ‰¾å…¼è· å±¥æ­·å¥æª¢ å±¥æ­·è¨ºç™‚å®¤,"Useful handy terminal mobile devices, UI/UX improved :)",Positive,0.466666667,0.633333333
104 æ‰¾å·¥ä½œ - æ‰¾å·¥ä½œ æ‰¾æ‰“å·¥ æ‰¾å…¼è· å±¥æ­·å¥æª¢ å±¥æ­·è¨ºç™‚å®¤,104 job hunt So amazing.. easy use.. thanx guys,Positive,0.516666667,0.866666667
104 æ‰¾å·¥ä½œ - æ‰¾å·¥ä½œ æ‰¾æ‰“å·¥ æ‰¾å…¼è· å±¥æ­·å¥æª¢ å±¥æ­·è¨ºç™‚å®¤,"Convenient, easy using many large corporation it.",Positive,0.382539683,0.587301587
104 æ‰¾å·¥ä½œ - æ‰¾å·¥ä½œ æ‰¾æ‰“å·¥ æ‰¾å…¼è· å±¥æ­·å¥æª¢ å±¥æ­·è¨ºç™‚å®¤,Easy to use interface,Positive,0.433333333,0.833333333
104 æ‰¾å·¥ä½œ - æ‰¾å·¥ä½œ æ‰¾æ‰“å·¥ æ‰¾å…¼è· å±¥æ­·å¥æª¢ å±¥æ­·è¨ºç™‚å®¤,easy simple easy use.,Positive,0.288888889,0.674603175
104 æ‰¾å·¥ä½œ - æ‰¾å·¥ä½œ æ‰¾æ‰“å·¥ æ‰¾å…¼è· å±¥æ­·å¥æª¢ å±¥æ­·è¨ºç™‚å®¤,easy found job,Positive,0.433333333,0.833333333
104 æ‰¾å·¥ä½œ - æ‰¾å·¥ä½œ æ‰¾æ‰“å·¥ æ‰¾å…¼è· å±¥æ­·å¥æª¢ å±¥æ­·è¨ºç™‚å®¤,Great,Positive,0.8,0.75
104 æ‰¾å·¥ä½œ - æ‰¾å·¥ä½œ æ‰¾æ‰“å·¥ æ‰¾å…¼è· å±¥æ­·å¥æª¢ å±¥æ­·è¨ºç™‚å®¤,Useful This useful Chinese difficult people's read Chinese. If add English language useful.,Positive,0.057142857,0.142857143
104 æ‰¾å·¥ä½œ - æ‰¾å·¥ä½œ æ‰¾æ‰“å·¥ æ‰¾å…¼è· å±¥æ­·å¥æª¢ å±¥æ­·è¨ºç™‚å®¤,"Selling a phone number? After completing the resume for 20 minutes, I was hit by my 4 mobile phones, including Nanshan Life Insurance.",Neutral,0,0
104 æ‰¾å·¥ä½œ - æ‰¾å·¥ä½œ æ‰¾æ‰“å·¥ æ‰¾å…¼è· å±¥æ­·å¥æª¢ å±¥æ­·è¨ºç™‚å®¤,Very helpful Very easy user-friendly. Brilliant app.,Positive,0.554444444,0.766666667
104 æ‰¾å·¥ä½œ - æ‰¾å·¥ä½œ æ‰¾æ‰“å·¥ æ‰¾å…¼è· å±¥æ­·å¥æª¢ å±¥æ­·è¨ºç™‚å®¤,Good Very helpful,Positive,0.45,0.45
104 æ‰¾å·¥ä½œ - æ‰¾å·¥ä½œ æ‰¾æ‰“å·¥ æ‰¾å…¼è· å±¥æ­·å¥æª¢ å±¥æ­·è¨ºç™‚å®¤,"Very good, very convenient, easy to use, very beautiful, very good",Positive,0.690666667,0.738666667
104 æ‰¾å·¥ä½œ - æ‰¾å·¥ä½œ æ‰¾æ‰“å·¥ æ‰¾å…¼è· å±¥æ­·å¥æª¢ å±¥æ­·è¨ºç™‚å®¤,Ok,Positive,0.5,0.5
104 æ‰¾å·¥ä½œ - æ‰¾å·¥ä½œ æ‰¾æ‰“å·¥ æ‰¾å…¼è· å±¥æ­·å¥æª¢ å±¥æ­·è¨ºç™‚å®¤,Nice,Positive,0.6,1
11st,Horrible ID verification,Negative,-1,1
11st,"Easy even basic Korean. Searching English usually bring results products shipped overseas, best search Korean.",Positive,0.236666667,0.301666667
11st,Cool,Positive,0.35,0.65
11st,"I do not collect it for a month, but I will not refund it. He said he would only call me all month.",Neutral,0,1
11st,Top bar missing newest update. Hard shop can't search...,Positive,0.002777778,0.363888889
11st,There is nothing missing ~ !!!,Negative,-0.390625,0.05
11st,Refund takes long.. 3 days still received money.. crazy,Negative,-0.325,0.65
11st,I enjoying online shopping via 11st app. Perfect!,Positive,0.75,0.8
11st,good enough,Positive,0.35,0.55
11st,I switching gMarket Twice 11st's new face!,Positive,0.170454545,0.454545455
11st,forced full screen popups,Positive,0.025,0.375
11st,Is it sound like you want to clear Chrome and pay for it again because Android users can not pay for Chrome error? I have to fix the app. Is it really true? It's makgeolli.,Positive,0.283333333,0.477777778
11st,Ok,Positive,0.5,0.5
11st,"I am trying to update every time but I do not stall. It's still difficult to search, and I'm tired of seeing categories by category. The benefits are getting less and less.",Negative,-0.308333333,0.458333333
11st,Just try.. So far good,Positive,0.4,0.8
11st,Icon name is strange after updating,Negative,-0.05,0.15
11st,com.skplanet.syruppay.cardrecognizedlib,Neutral,0,0
11st,Nice,Positive,0.6,1
11st,best shop,Positive,1,0.3
11st,I forgot password can't get new,Positive,0.136363636,0.454545455
11st,best,Positive,1,0.3
11st,I love,Positive,0.5,0.6
11st,Force update,Neutral,0,0
11st,She,Neutral,0,0
11st,Love Nature,Positive,0.5,0.6
11st,Language barrier. I understand Korea. I want English.,Neutral,0,0
11st,Shipping View Flexible View Make it right? Why do not you come out ???,Positive,0.285714286,0.535714286
11st,0 points I want to give No -10000000000000 points shortage I clicked on the Internet address I could not find the product I popped up and the 11th Avenue app was automatically turned on and it was automatically abducted so I can not use the internet app.,Neutral,0,0
11st,,Neutral,0,0
11st,Five star Its nice,Positive,0.6,1
11st,"Forced termination is too severe. If you try to view detailed information, it will be forcibly terminated.",Positive,0.2,0.65
11st,"Open Market Revolution A section of the Helo-Ship open market mobile service. There are still many page areas that can not be served by mobile service, and the interface is also an urgent level for page loading. If you understand that there is a limit to the source control of the product information provided by the sellers, it is a chronic problem that problems arise in the loading of coupons or on the benefit management page.",Positive,0.166666667,0.5
11st,English version Hi possible English version. Thank you.,Neutral,0,0.333333333
11st,"If you have a phone that is authenticated by OTP and you call the agent, you will be able to find it .... There is a letter authentication and there is also an e-mail .. If you do not do such a thing and call a counselor,",Positive,0.25,0.5625
11st,It has been slowed down since the last update. It's hard for me to pay for the product ... I'll give up when I'm alive.,Negative,-0.086805556,0.324305556
11st,good good,Positive,0.7,0.6
11st,"If a network error occurs, the app should save the state and try again, or try to re-point the next time, but that's it and it's gone. It's totally tough.",Negative,-0.194444444,0.416666667
11st,Problem language I dont understand language used app. I advise keep option user choose language may prefer,Neutral,0,0
11st,Nice So nice Apps.,Positive,0.6,1
11st,Don't English language like,Neutral,0,0
1800 Contacts - Lens Store,Great hassle free way order contacts. Got call reminding prescription expires tomorrow.,Positive,0.6,0.775
